Username,Password,,,,,,
FDCosta,leKappa,,,,,,
Client,,,,,,,
Address,Client_ID,Date_Of_Birth,Email,Family Doctor,Name,Phone Number,
121 Street,44,201/06/1993,,Dr. El Taco Bell,Francisco Costa,,
King's Cross 9 3/4,42,20/04/2000,mlgprolyfe@kappa.com,Dr. El Doritos,Draco Meteor,(780) 753-3790,
,,,,,,,
Physical Assessment,,,,,,,
Blood_Pressure,Body_Fat,Client_ID,Date_Assessed,Heart_Rate,Height,Skin_Folds,Weight
9001,2,42,20/04/2016,0,150,Many,100
120,15,44,20/04/2016,120,156,,120
,,,,,,,
Medical Information,,,,,,,
Client_ID,Condition,Date_Diagnosed,Date_Treated,Prescribed_Medications,Special_Considerations,,
44,Death's Door,4/20/2016,,Sleep,Insomnia,,
42,Poor,07/11/2001,19/04/2016,Alcohol,Insanity,,
,,,,,,,
On Site Injuries,,,,,,,
Client_ID,Date,Injury,Notes,,,,
42,20/04/2016,Concussion,Ph'nglui mgw'nafh Cthulhu Rl'yeh wgah'nagl fhtagn,,,,
,,,,,,,
Forms,,,,,,,
Client_ID,Date_Signed,Expiration_Date,Name,,,,
44,01/01/2016,01/01/2025,Waver,,,,
42,01/04/2016,01/04/2025,G.O.A.T,,,,
,,,,,,,
Transactions,,,,,,,
Client_ID,Receipt_Num,Total Price,,,,,
44,4444,88.88,,,,,
42,7267,1000000,,,,,
,,,,,,,
Receipt,,,,,,,
Date,Item,Receipt_Num,,,,,
01/01/52016,inSaiyan,4444,,,,,
01/04/2016,OPWorkOut,7267,,,,,
,,,,,,,
Services,,,,,,,
Hourly,Name,Price,,,,,
TRUE,inSaiyan,44.44,,,,,
FALSE,OPWorkOut,1000000,,,,,
